order_id,order_date,promised_date,shipped_date,country,store_id,channel,sku_id,quantity,unit_price,status,cancellation_reason
ORD000001,2024-02-15,2024-02-16,2024-02-18,Malaysia,MY01,Ecom,SKU0024,1,2435,Shipped,
ORD000002,2024-03-30,2024-03-31,2024-04-03,Singapore,SG02,Boutique,SKU0087,2,1775,Shipped,
ORD000003,2024-06-25,2024-06-28,2024-06-27,Vietnam,VN01,Ecom,SKU0013,3,2065,Shipped,
ORD000004,2024-08-26,2024-08-27,2024-08-29,Singapore,SG02,Ecom,SKU0037,2,1142,Shipped,
ORD000005,2024-02-25,2024-02-27,2024-02-28,Vietnam,VN01,Boutique,SKU0022,3,1868,Shipped,
ORD000006,2024-12-06,2024-12-09,2024-12-09,Singapore,SG02,Boutique,SKU0038,1,717,Shipped,
ORD000007,2024-11-20,2024-11-22,2024-11-22,Thailand,TH02,Boutique,SKU0094,2,1092,Shipped,
ORD000008,2024-11-15,2024-11-17,2024-11-16,Singapore,SG02,Boutique,SKU0076,1,1328,Shipped,
ORD000009,2024-12-17,2024-12-19,2024-12-19,Vietnam,VN02,Boutique,SKU0018,1,6218,Shipped,
ORD000010,2024-12-30,2025-01-01,2024-12-30,Singapore,SG02,Ecom,SKU0036,3,6157,Shipped,
ORD000011,2024-03-14,2024-03-18,2024-03-16,Vietnam,VN01,Boutique,SKU0052,3,3221,Shipped,
ORD000012,2024-06-05,2024-06-07,2024-06-05,Vietnam,VN01,Omni,SKU0071,1,1251,Shipped,
ORD000013,2024-02-22,2024-02-25,2024-02-24,Singapore,SG01,Boutique,SKU0019,1,3269,Shipped,
ORD000014,2024-03-14,2024-03-16,2024-03-17,Thailand,TH01,Ecom,SKU0001,1,1505,Shipped,
ORD000015,2024-02-09,2024-02-10,2024-02-11,Vietnam,VN01,Omni,SKU0060,1,734,Shipped,
ORD000016,2024-09-20,2024-09-22,2024-09-21,Thailand,TH01,Boutique,SKU0039,1,1305,Shipped,
ORD000017,2024-06-10,2024-06-11,2024-06-12,Thailand,TH01,Ecom,SKU0034,3,976,Shipped,
ORD000018,2024-04-27,2024-04-28,,Malaysia,MY01,Omni,SKU0094,1,1092,Cancelled,Customer cancellation
ORD000019,2024-06-25,2024-06-27,,Thailand,TH01,Ecom,SKU0026,1,500,Cancelled,Customer cancellation
ORD000020,2024-03-05,2024-03-06,2024-03-06,Vietnam,VN01,Boutique,SKU0100,3,3175,Shipped,
ORD000021,2024-08-08,2024-08-09,2024-08-08,Singapore,SG01,Omni,SKU0084,1,2027,Shipped,
ORD000022,2024-12-28,2024-12-31,2024-12-29,Singapore,SG01,Boutique,SKU0049,1,2144,Shipped,
ORD000023,2024-04-28,2024-04-30,2024-05-01,Indonesia,ID02,Ecom,SKU0084,1,2027,Shipped,
ORD000024,2024-03-29,2024-04-01,2024-03-31,Singapore,SG01,Boutique,SKU0076,1,1328,Shipped,
ORD000025,2024-06-19,2024-06-21,2024-06-20,Malaysia,MY01,Omni,SKU0045,1,1601,Shipped,
ORD000026,2024-08-19,2024-08-21,2024-08-22,Malaysia,MY01,Boutique,SKU0056,1,604,Shipped,
ORD000027,2024-11-16,2024-11-17,2024-11-17,Indonesia,ID02,Boutique,SKU0031,2,5332,Shipped,
ORD000028,2024-08-08,2024-08-09,2024-08-10,Singapore,SG02,Ecom,SKU0018,1,6218,Shipped,
ORD000029,2024-08-19,2024-08-21,,Thailand,TH01,Omni,SKU0095,2,632,Cancelled,Customer cancellation
ORD000030,2024-02-15,2024-02-19,2024-02-18,Indonesia,ID01,Boutique,SKU0013,2,2065,Shipped,
ORD000031,2024-12-31,2025-01-02,2025-01-01,Indonesia,ID02,Ecom,SKU0044,1,3020,Shipped,
ORD000032,2024-12-31,2025-01-01,2025-01-01,Thailand,TH01,Omni,SKU0084,3,2027,Shipped,
ORD000033,2024-05-10,2024-05-11,2024-05-11,Thailand,TH01,Boutique,SKU0099,1,2292,Shipped,
ORD000034,2024-07-23,2024-07-26,2024-07-24,Thailand,TH02,Boutique,SKU0037,1,1142,Shipped,
ORD000035,2024-03-26,2024-03-27,2024-03-26,Singapore,SG02,Boutique,SKU0028,2,1606,Shipped,
ORD000036,2024-01-07,2024-01-08,2024-01-08,Singapore,SG01,Boutique,SKU0039,2,1305,Shipped,
ORD000037,2024-05-12,2024-05-14,2024-05-13,Thailand,TH01,Boutique,SKU0068,1,2033,Shipped,
ORD000038,2024-10-30,2024-11-01,2024-10-30,Thailand,TH02,Ecom,SKU0090,1,3367,Shipped,
ORD000039,2024-06-29,2024-07-01,2024-07-02,Vietnam,VN02,Omni,SKU0068,1,2033,Shipped,
ORD000040,2024-05-26,2024-05-29,2024-05-26,Malaysia,MY02,Omni,SKU0043,1,1125,Shipped,
ORD000041,2024-04-24,2024-04-26,2024-04-25,Malaysia,MY02,Ecom,SKU0024,3,2435,Shipped,
ORD000042,2024-07-18,2024-07-20,2024-07-18,Singapore,SG02,Boutique,SKU0079,1,1560,Shipped,
ORD000043,2024-05-11,2024-05-13,2024-05-13,Thailand,TH02,Boutique,SKU0082,3,6080,Shipped,
ORD000044,2024-05-17,2024-05-18,2024-05-18,Singapore,SG02,Boutique,SKU0072,1,1375,Shipped,
ORD000045,2024-03-19,2024-03-20,2024-03-20,Thailand,TH02,Ecom,SKU0043,1,1125,Shipped,
ORD000046,2024-01-07,2024-01-10,2024-01-08,Indonesia,ID01,Ecom,SKU0057,1,5270,Shipped,
ORD000047,2024-11-05,2024-11-07,2024-11-07,Singapore,SG01,Boutique,SKU0048,1,1643,Shipped,
ORD000048,2024-08-16,2024-08-17,2024-08-16,Indonesia,ID01,Ecom,SKU0047,1,3621,Shipped,
ORD000049,2024-02-21,2024-02-22,2024-02-25,Singapore,SG01,Boutique,SKU0042,1,3121,Shipped,
ORD000050,2024-11-19,2024-11-22,2024-11-23,Thailand,TH02,Boutique,SKU0029,1,2091,Shipped,
ORD000051,2024-05-04,2024-05-06,2024-05-04,Thailand,TH01,Ecom,SKU0011,1,1471,Shipped,
ORD000052,2024-11-29,2024-12-01,2024-11-30,Singapore,SG01,Ecom,SKU0009,2,3675,Shipped,
ORD000053,2024-02-10,2024-02-13,2024-02-10,Malaysia,MY01,Boutique,SKU0026,3,500,Shipped,
ORD000054,2024-03-01,2024-03-03,2024-03-03,Vietnam,VN01,Boutique,SKU0078,2,1523,Shipped,
ORD000055,2024-10-12,2024-10-14,2024-10-14,Singapore,SG01,Ecom,SKU0017,1,2721,Shipped,
ORD000056,2024-01-28,2024-01-29,2024-01-28,Indonesia,ID01,Ecom,SKU0050,1,1317,Shipped,
ORD000057,2024-07-10,2024-07-12,2024-07-11,Vietnam,VN01,Boutique,SKU0061,1,1463,Shipped,
ORD000058,2024-04-23,2024-04-27,2024-04-25,Malaysia,MY01,Boutique,SKU0036,2,6157,Shipped,
ORD000059,2024-04-02,2024-04-04,2024-04-05,Singapore,SG02,Boutique,SKU0100,1,3175,Shipped,
ORD000060,2024-10-18,2024-10-20,2024-10-18,Vietnam,VN01,Ecom,SKU0025,2,3795,Shipped,
ORD000061,2024-09-20,2024-09-23,2024-09-24,Indonesia,ID02,Boutique,SKU0074,3,669,Shipped,
